Báo cáo Sản phẩm - Shopee Việt Nam
Tên đăng nhập,riversong_mall
Tên gian hàng,Riversong Việt Nam
Mã Người bán,1418202003
Tên Quảng cáo,Đồng hồ thời trang chạy bộ GPS độc lập RIVERSONG smart watch chống nước đo calo sức khoẻ Motive 10GT [3]
Mã sản phẩm,29028469936
,
Thời gian tạo báo cáo,29/07/2025 09:58
Khoảng thời gian,23/07/2025 - 29/07/2025

Tìm kiếm
Thứ tự,Từ khóa,Loại từ khóa,Lệnh tìm kiếm,Phương thức đấu thầu,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp
25,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh chính hãng cao cấp,Giá thầu Thủ công,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,5,0.00,0.00,0.00%,0.00%
26,chống nước đồng hồ,Từ khóa mở rộng,xiaomi watch s4,Giá thầu Thủ công,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,5,0.00,0.00,0.00%,0.00%
27,dong ho xiaomi,Từ khóa mở rộng,mibro lite 3 pro,Giá thầu Thủ công,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,6,0.00,0.00,0.00%,0.00%
28,chống nước,Từ khóa mở rộng,riversong,Giá thầu Thủ công,5,2,40.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3600,4,0.00,0.00,0.00%,0.00%
29,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh pin trâu,Giá thầu Thủ công,5,1,20.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1505,10,0.00,0.00,0.00%,0.00%
30,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh kz89,Giá thầu Thủ công,5,1,20.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,8,0.00,0.00,0.00%,0.00%
31,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ thông minh xiaomi,Giá thầu Thủ công,5,1,20.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,7,0.00,0.00,0.00%,0.00%
32,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh galaxy watch 10,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,14,0.00,0.00,0.00%,0.00%
33,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh lắp sim,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,9,0.00,0.00,0.00%,0.00%
34,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ lắp sim nghe gọi,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,11,0.00,0.00,0.00%,0.00%
35,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ nam độc lạ,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,13,0.00,0.00,0.00%,0.00%
36,dong ho xiaomi,Từ khóa mở rộng,xiaomi watch,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,17,0.00,0.00,0.00%,0.00%
37,dong ho,Từ khóa mở rộng,watch,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,26,0.00,0.00,0.00%,0.00%
38,dây đồng hồ redmi watch 3,Từ khóa mở rộng,huawei watch gt 2 pro,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,2,0.00,0.00,0.00%,0.00%
39,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ đo ecg,Giá thầu Thủ công,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,4,0.00,0.00,0.00%,0.00%
40,dây đồng hồ redmi watch 3,Từ khóa mở rộng,redmi watch 5,Giá thầu Thủ công,4,2,50.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3600,12,0.00,0.00,0.00%,0.00%
41,dong ho,Từ khóa mở rộng,đồng hồ hybrid,Giá thầu Thủ công,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,9,0.00,0.00,0.00%,0.00%
42,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ amazfit,Giá thầu Thủ công,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,7,0.00,0.00,0.00%,0.00%
43,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ riversong,Giá thầu Thủ công,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,771,1,0.00,0.00,0.00%,0.00%
44,dong ho,Từ khóa mở rộng,đồng hồ nam maserati,Giá thầu Thủ công,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,1,0.00,0.00,0.00%,0.00%
45,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ samsung,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,9,0.00,0.00,0.00%,0.00%
46,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ chạy bộ đo km,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,12,0.00,0.00,0.00%,0.00%
47,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ huawei gt4 pro,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,7,0.00,0.00,0.00%,0.00%
48,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ 1k,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,11,0.00,0.00,0.00%,0.00%
49,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ mibro,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,17,0.00,0.00,0.00%,0.00%
50,dây đồng hồ redmi watch 3,Từ khóa mở rộng,huawei watch gt2,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,1,0.00,0.00,0.00%,0.00%
51,dong ho xiaomi,Từ khóa mở rộng,mibro,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,8,0.00,0.00,0.00%,0.00%
52,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ t rex 3,Giá thầu Thủ công,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,1,0.00,0.00,0.00%,0.00%
